question,meta,answer
What are Coronaviruses?,,"Coronaviruses are a large family of viruses causing illnesses ranging from the common cold to pneumonia (a more severe lung infection). A new coronavirus strain has been identified in Wuhan, China. The Coronavirus Disease 19 (COVID-19) has caused cases of severe pneumonia in China and cases have been exported to other countries and cities."
How does COVID-19 spread? ,,"There is human to human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices.MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates."
What are the symptoms of COVID-19?,,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough and shortness of breath."
What is the treatment for COVID-19?,,Supportive treatment is provided based on the patient’s clinical condition. No proven specific treatment or anti-viral drug for COVID-19 is currently available.
Is the disease deadly? How is this compared to SARS?,,"The situation is evolving and many characteristics of the virus and how it may affect people are still unclear. However, current information suggests COVID-19 can cause severe disease and death in 2-3% of people with the infection, especially among the elderly and those people with underlying health problems or compromised immune systems."
What is the current public health travel advisory?,,"MOH advises travellers to avoid travel to Hubei province in China, and to defer all non-essential travel to mainland China."
"If I defer my travel to mainland China, will travel insurance cover my trip cancellation, postponement of flight tickets and hotels? How do I go about seeking refund? ",,You are advised to check with your respective travel insurance providers for information on coverage and compensation.
"How are the frontline workers, e.g., airline staff, healthcare workers, checkpoint staff, protected, to make sure that they do not get sick and spread the diseases?",,"Employees working in the various sectors would have received sector specific advisories, which include measures and precautionary measures that employees and employers can take. "
"With the new H5N1 outbreak in Hunan, China, are there additional precautions that we should take?  ",,"MOH is currently monitoring the development of H5N1 outbreak in China closely. While there have been isolated reports of H5N1 avian influenza infection in humans with presumed transmission from birds, there has not been any outbreaks of H5N1 avian influenza in humans or any evidence of human to human spread. Frozen and live poultry from China is not imported into Singapore. As such, the risk of any H5N1 outbreak in Singapore is low. However, members of public are advised to remain vigilant and observe good personal hygiene practices, such as washing hands with soap and water after contact with animals. They should also avoid the consumption of raw or undercooked meat. "
"Can organisations collect, use and disclose personal data (including NRIC/FIN/passport numbers) of visitors to premises for the purposes of contact tracing and other response measures in the event of a COVID-19 case?",," Organisations may collect personal data of visitors to premises for purposes of contact tracing and other response measures in the event of an emergency, such as during the outbreak of the COVID-19.In the event of a COVID-19 case, data can be collected, used and disclosed without consent to carry out contact tracing and other response measures, pursuant to sections 1(b) of the Second, Third and Fourth Schedules to the Personal Data Protection Act (PDPA), as this is necessary to respond to an emergency that threatens the life, health or safety of other individuals.As organisations may require NRIC/FIN/passport numbers to accurately identify individuals in the event of a COVID-19 case, organisations may collect visitors’ NRIC, FIN or passport numbers for this purpose.Organisations that collect such personal data must comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession from unauthorised access or disclosure, and ensuring that the personal data is not used for other purposes without consent or authorisation under the law.Please click here for more FAQs on PDPA."
Who should wear a mask?  What kind of mask should I wear? ,,"For the general public who are not having any symptoms at all and are well, there is no requirement to wear a mask. As a good hygiene measure, people who are not well and have respiratory symptoms should wear a mask so that they do not spread any infection to other people. Anyone who has symptoms should see a doctor as soon as possible, to make sure that they remain well. In the case of COVID-19, we know that the infection is spread through droplets. Wearing a mask will protect other people when someone with respiratory symptoms coughs or sneezes, as the mask would trap those droplets and prevent those droplets from spreading and disseminating."
Will Government be issuing masks for public? ,,"The Government will be distributing a pack of four masks to each household at distribution points. These are to be used when you are sick and need to see a doctor.The masks are made available from 01 Feb 2020 to 29 Feb 2020 at 88 Community Centres (CCs) and 654 Residents’ Committee (RC) Centres. You can click here, or check your RC noticeboards, digital display panels and social media platforms on when and where you should collect your masks. Priority will be given to areas with high numbers of vulnerable residents as well as rental block residents and Pioneer Generation residents."
Where and when can I collect my mask?  ,,To collect your masks:1.  Go to www.maskgowhere.gov.sg and key in your postal code to find the location and contact information of your constituency's Community Club/Centre (CC). 2.  You will need to bring your NRIC for verification.
Why don’t the Government get SingPost to distribute the masks? Why do I still need to collect them. ,,"Through collection at the RCs/CCs, we can ensure that those who need the masks get them. It reduces wastage, ensures the masks are safe and clean and also gives us the opportunity to answer any questions public may have."
